datamart_id	dataset_id	dataset_name	dataset_description	dataset_url	variable_id	variable_name	variable_description
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1010	"FAO: Emissions (CO2eq), Meat, chicken[gigagrams]"	"FAO: Emissions (CO2eq), Meat, chicken[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1011	"FAO: Emissions (CO2eq), Meat, goat[gigagrams]"	"FAO: Emissions (CO2eq), Meat, goat[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1012	"FAO: Emissions (CO2eq), Meat, pig[gigagrams]"	"FAO: Emissions (CO2eq), Meat, pig[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1013	"FAO: Emissions (CO2eq), Meat, sheep[gigagrams]"	"FAO: Emissions (CO2eq), Meat, sheep[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1014	"FAO: Emissions (CO2eq), Milk, whole fresh camel[gigagrams]"	"FAO: Emissions (CO2eq), Milk, whole fresh camel[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1015	"FAO: Emissions (CO2eq), Milk, whole fresh cow[gigagrams]"	"FAO: Emissions (CO2eq), Milk, whole fresh cow[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1016	"FAO: Emissions (CO2eq), Milk, whole fresh goat[gigagrams]"	"FAO: Emissions (CO2eq), Milk, whole fresh goat[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1017	"FAO: Emissions (CO2eq), Milk, whole fresh sheep[gigagrams]"	"FAO: Emissions (CO2eq), Milk, whole fresh sheep[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1018	"FAO: Emissions (CO2eq), Other sources[Gigagrams]"	"FAO: Emissions (CO2eq), Other sources[Gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1019	"FAO: Emissions (CO2eq), Residential, commercial, institutional and AFF[Gigagrams]"	"FAO: Emissions (CO2eq), Residential, commercial, institutional and AFF[Gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-102	"FAO: Value US$, 2005 prices, Value Added (Agriculture, Forestry and Fishing)[millions]"	"FAO: Value US$, 2005 prices, Value Added (Agriculture, Forestry and Fishing)[millions]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1020	"FAO: Emissions (CO2eq), Rice Cultivation[gigagrams]"	"FAO: Emissions (CO2eq), Rice Cultivation[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1021	"FAO: Emissions (CO2eq), Rice, paddy[gigagrams]"	"FAO: Emissions (CO2eq), Rice, paddy[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1022	"FAO: Emissions (CO2eq), Sources total[Gigagrams]"	"FAO: Emissions (CO2eq), Sources total[Gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1023	"FAO: Emissions (CO2eq), Sources total excl. AFOLU[Gigagrams]"	"FAO: Emissions (CO2eq), Sources total excl. AFOLU[Gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1024	"FAO: Emissions (CO2eq), Synthetic Fertilizers[gigagrams]"	"FAO: Emissions (CO2eq), Synthetic Fertilizers[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1025	"FAO: Emissions (CO2eq), Transport[Gigagrams]"	"FAO: Emissions (CO2eq), Transport[Gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1026	"FAO: Emissions (CO2eq), Waste[Gigagrams]"	"FAO: Emissions (CO2eq), Waste[Gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1027	"FAO: Emissions (N2O) (Burning biomass), Burning - all categories[gigagrams]"	"FAO: Emissions (N2O) (Burning biomass), Burning - all categories[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1028	"FAO: Emissions (N2O) (Burning biomass), Humid tropical forest[gigagrams]"	"FAO: Emissions (N2O) (Burning biomass), Humid tropical forest[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1029	"FAO: Emissions (N2O) (Burning biomass), Organic soils[gigagrams]"	"FAO: Emissions (N2O) (Burning biomass), Organic soils[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-103	"FAO: Value US$, 2005 prices, Value Added (Manufacture of food and beverages)[millions]"	"FAO: Value US$, 2005 prices, Value Added (Manufacture of food and beverages)[millions]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1030	"FAO: Emissions (N2O) (Burning biomass), Other forest[gigagrams]"	"FAO: Emissions (N2O) (Burning biomass), Other forest[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1031	"FAO: Emissions (N2O) (Burning crop residues), All Crops[gigagrams]"	"FAO: Emissions (N2O) (Burning crop residues), All Crops[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1032	"FAO: Emissions (N2O) (Burning crop residues), Maize[gigagrams]"	"FAO: Emissions (N2O) (Burning crop residues), Maize[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1033	"FAO: Emissions (N2O) (Burning crop residues), Rice, paddy[gigagrams]"	"FAO: Emissions (N2O) (Burning crop residues), Rice, paddy[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1034	"FAO: Emissions (N2O) (Burning crop residues), Sugar cane[gigagrams]"	"FAO: Emissions (N2O) (Burning crop residues), Sugar cane[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1035	"FAO: Emissions (N2O) (Burning crop residues), Wheat[gigagrams]"	"FAO: Emissions (N2O) (Burning crop residues), Wheat[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1036	"FAO: Emissions (N2O) (Crop residues), All Crops[gigagrams]"	"FAO: Emissions (N2O) (Crop residues), All Crops[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1037	"FAO: Emissions (N2O) (Crop residues), Barley[gigagrams]"	"FAO: Emissions (N2O) (Crop residues), Barley[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1038	"FAO: Emissions (N2O) (Crop residues), Beans, dry[gigagrams]"	"FAO: Emissions (N2O) (Crop residues), Beans, dry[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1039	"FAO: Emissions (N2O) (Crop residues), Maize[gigagrams]"	"FAO: Emissions (N2O) (Crop residues), Maize[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-104	"FAO: Value US$, 2005 prices, Value Added (Manufacture of food, beverages and tobacco products)[millions]"	"FAO: Value US$, 2005 prices, Value Added (Manufacture of food, beverages and tobacco products)[millions]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1040	"FAO: Emissions (N2O) (Crop residues), Millet[gigagrams]"	"FAO: Emissions (N2O) (Crop residues), Millet[gigagrams]"
